Date,File,Description,Amount
2023-01-03,personal_chequing_multi_page_3.pdf,Misc Payment PAY-FILE FEES,-2.0
2023-01-03,personal_chequing_multi_page_3.pdf,Monthly fee,-6.0
2023-01-03,personal_chequing_multi_page_3.pdf,Electronic transaction fee 7 Drs @ 0.75 2 Crs @ 0.75,-6.75
2023-01-05,personal_chequing_multi_page_3.pdf,Investment MD Financial,-5000.0
2023-01-06,personal_chequing_multi_page_3.pdf,Online transfer sent - 2067,-2000.0
2023-01-12,personal_chequing_multi_page_3.pdf,Account Payable Pmt WINCHESTER DMH,2695.42
2023-01-13,personal_chequing_multi_page_3.pdf,Bill Payment GOV NU PAYABLES,25362.5
2023-01-13,personal_chequing_multi_page_3.pdf,Misc Payment ONTARIO HEALTH,4759.48
2023-01-19,personal_chequing_multi_page_3.pdf,Online transfer sent - 5235,-2000.0
2023-01-19,personal_chequing_multi_page_3.pdf,e-Transfer sent Adam Jones-Delcorde,-646.39
2023-01-19,personal_chequing_multi_page_3.pdf,INTERAC e-Transfer fee,-1.5
2023-01-19,personal_chequing_multi_page_3.pdf,Online Banking transfer - 4518,-2051.77
2023-01-20,personal_chequing_multi_page_3.pdf,Online transfer sent - 8546,-2000.0
2023-01-20,personal_chequing_multi_page_3.pdf,Misc Payment CMPA-ACPM,-180.0
2023-01-27,personal_chequing_multi_page_3.pdf,Online transfer sent - 1757,-2000.0
2023-01-31,personal_chequing_multi_page_3.pdf,Online Banking transfer - 2307,-2328.9
